item_name,price
"KI Furniture Mesa? Armchair... 
","

$1,619.99

"
"KI Furniture Mesa Loveseat... 
","

$2,249.99

"
"2010-2011 Kia Rio Grille... 
","

$16.98

"
"Washer And Gasket Ki
","

$13.10

"
"KI Furniture Mesa Sofa... 
","

$2,669.99

"
"Ki Store 24pcs Christmas... 
","

$21.18

"
"KI Furniture Jessa? Armchair... 
","

$1,499.99

"
"Ki Extra Fine 5 Tube Glitter... 
","

$5.99

"
"Ki7 Antenna Adapter For... 
","

$9.82

"
"Ki-15 Ice Cream Maker (1.5... 
","

$225.79

"
"KI Furniture WorkZone Basic... 
","

$549.99

"
"Charlton Home 11 Glass... 
","

$44.99

"
"Ki Store Tool Bags For Garden... 
","

$14.50

"
"Blue Ridge Home Fashion... 
","

$24.99

"
"Ki Store Tool Bags For Garden... 
","

$9.50

"
"InstaHANGER Clothes Hanging... 
","

$33.99

"
"Ki Memories 10 Clear Stamps... 
","

$6.99

"
"KI-STOR-DOCK External Dock... 
","

$295.00

"
"KI Furniture Workzone... 
","

$1,019.99

"
"Ki Memories 17 Clear Stamps... 
","

$6.99

"
"Artisan Pillows Kids Nursery... 
","

$82.99

"
"Sunset Trading Sunset... 
","

$819.99

"
"Knox & Harrison Mirrored End... 
","

$379.99

"
"EQLight Ki 1-Light MIni... 
","

$121.99

"
"KI Furniture Workzone Side... 
","

$619.99

"
"Ki2593119 Fits Kia Soul... 
","

$50.34

"
"Ki1553101, Ki1552101 Rear... 
","

$40.77

"
"Ki Pro Ultra 4K Video... 
","

$2,995.00

"
"Ki1352111 Left Front Inside... 
","

$15.14

"
"Ki2801108, Ki2800108 Set Of 2... 
","

$221.99

"
"Ki1240127 2002-05 Ki1240127... 
","

$166.35

"
"T-fal Ki160us 1500-watt... 
","

$51.40

"
"Ki2592118oe Fog Lamp Assembly... 
","

$68.00

"
"Johnson,moni-ki Cd 
","

$8.99

"
"Comfort Escape 8 Gel Memory... 
","

$581.00

"
"Ki Store Tool Bags For Garden... 
","

$16.72

"
"Ki2803107c Set Of 2 Tail... 
","

$163.26

"
"40-ki11 Antenna Adapter... 
","

$7.99

"
"Ki1241146c, Ki1240146c Set Of... 
","

$361.77

"
"Ki Store 24pcs Christmas... 
","

$10.32

"
